Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],AOD_Extinction-Fine[440nm],AOD_Extinction-Fine[675nm],AOD_Extinction-Fine[870nm],AOD_Extinction-Fine[1020nm],AOD_Extinction-Coarse[440nm],AOD_Extinction-Coarse[675nm],AOD_Extinction-Coarse[870nm],AOD_Extinction-Coarse[1020nm],Extinction_Angstrom_Exponent_440-870nm-Total,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
IIT_Delhi,02:04:2021,11:49:09,92,92.492465,0.260700,0.215600,0.199300,0.192400,0.106400,0.051700,0.029500,0.020200,0.154400,0.164000,0.169800,0.172200,0.399992,73.768029,73.112557,3.038415,0.129643,0.255577,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.081080,0.152240,0.292700,0.286450,1,1,30:06:2022,22:33:47,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,12:07:29,92,92.505197,0.262200,0.219000,0.202600,0.195200,0.105800,0.052900,0.030800,0.021200,0.156300,0.166100,0.171800,0.174100,0.383494,77.772701,77.117813,3.174948,0.073408,0.257518,4,8,7,5,4,8,7,5,4,9,7,6,4,10,7,6,0.087550,0.164200,0.313170,0.304560,1,1,30:06:2022,22:36:12,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,01:53:53,93,93.079086,0.259800,0.220200,0.205200,0.198500,0.102700,0.051700,0.029900,0.020700,0.157100,0.168500,0.175300,0.177800,0.351020,73.721272,74.377684,3.150629,0.157693,0.256203,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080020,0.151560,0.293830,0.291700,1,1,30:06:2022,22:31:00,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,02:25:30,93,93.101042,0.272700,0.230900,0.216600,0.210600,0.105400,0.050600,0.029900,0.021100,0.167400,0.180300,0.186800,0.189500,0.343905,66.814194,67.468059,2.678775,0.226233,0.268169,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.072210,0.136680,0.267610,0.267090,1,1,30:06:2022,22:37:15,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,03:14:01,93,93.134734,0.291600,0.244300,0.231000,0.225400,0.115400,0.054900,0.033200,0.023800,0.176200,0.189400,0.197800,0.201600,0.350012,56.333484,56.974562,2.469329,0.332549,0.286950,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.064540,0.122110,0.242010,0.243200,1,1,30:06:2022,22:42:11,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,03:43:49,93,93.155428,0.322300,0.262100,0.245900,0.239200,0.138400,0.064400,0.039200,0.028300,0.183900,0.197700,0.206700,0.210900,0.406793,50.041896,50.667964,2.990497,0.339960,0.317982,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.061430,0.116230,0.231700,0.233650,1,1,30:06:2022,22:46:52,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,10:06:48,93,93.421389,0.397000,0.287100,0.252500,0.238400,0.225200,0.103400,0.060300,0.042300,0.171800,0.183700,0.192100,0.196100,0.674996,51.576837,50.948460,3.057404,0.504742,0.393545,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.062430,0.117690,0.233520,0.234020,1,1,30:06:2022,22:35:49,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,10:31:13,93,93.438345,0.409800,0.304700,0.268100,0.252700,0.222700,0.106200,0.061800,0.042600,0.187200,0.198500,0.206300,0.210100,0.631032,56.748469,56.108200,1.900950,0.160026,0.403748,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,4,0.065190,0.122790,0.242240,0.241720,1,1,30:06:2022,22:43:00,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,10:59:31,93,93.457998,0.384000,0.289400,0.256400,0.242900,0.199900,0.093700,0.053100,0.036100,0.184000,0.195700,0.203300,0.206800,0.600870,62.838616,62.189374,2.722508,0.172833,0.378705,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.069400,0.130580,0.255590,0.253540,1,1,30:06:2022,22:16:02,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,11:48:54,93,93.492292,0.319900,0.250400,0.225300,0.214900,0.151800,0.071300,0.039600,0.026600,0.168100,0.179100,0.185700,0.188300,0.521401,73.596911,72.941182,3.449840,0.114769,0.315771,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080830,0.151780,0.291920,0.285760,1,1,30:06:2022,22:22:31,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,12:07:19,93,93.505081,0.320600,0.251600,0.226100,0.214400,0.156400,0.076100,0.044200,0.030100,0.164200,0.175500,0.181900,0.184300,0.518972,77.620923,76.965897,3.144182,0.051243,0.316481,4,8,7,6,4,8,7,6,4,9,7,6,4,10,7,6,0.087280,0.163710,0.312290,0.303790,1,1,30:06:2022,22:25:23,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,04:04:2021,01:53:33,94,94.078854,0.325600,0.255200,0.226100,0.212600,0.164800,0.082900,0.047700,0.032000,0.160800,0.172300,0.178400,0.180600,0.539618,73.550822,74.207446,1.744639,0.066993,0.320769,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.079770,0.151090,0.293020,0.290970,1,1,30:06:2022,22:26:02,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,04:04:2021,02:24:22,94,94.100255,0.307300,0.236800,0.210100,0.198400,0.158300,0.077200,0.044400,0.030300,0.149000,0.159700,0.165700,0.168100,0.564263,66.814509,67.468965,1.760497,0.122385,0.302736,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.072210,0.136680,0.267620,0.267090,1,1,30:06:2022,22:33:29,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,04:04:2021,03:13:25,94,94.134317,0.332800,0.250900,0.220700,0.206700,0.184900,0.091800,0.055300,0.038700,0.148000,0.159200,0.165400,0.168000,0.609761,56.204041,56.846263,1.713262,0.156048,0.328155,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.064460,0.121970,0.241760,0.242980,1,1,30:06:2022,22:38:49,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,04:04:2021,10:06:32,94,94.421204,0.346200,0.267100,0.241500,0.230500,0.182400,0.090400,0.055500,0.039900,0.163800,0.176700,0.186000,0.190700,0.537563,51.377998,50.748206,5.126800,0.263166,0.344731,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.062340,0.117520,0.233230,0.233760,1,1,30:06:2022,22:18:29,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,05:04:2021,02:23:08,95,95.099398,0.565600,0.440800,0.394700,0.374900,0.284200,0.139400,0.080700,0.055800,0.281400,0.301500,0.314000,0.319100,0.534548,66.839179,67.494190,2.752728,0.149831,0.558497,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.072230,0.136720,0.267690,0.267170,1,1,30:06:2022,22:23:14,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,05:04:2021,03:13:13,95,95.134178,0.548500,0.430200,0.389100,0.371700,0.269800,0.131500,0.077300,0.054300,0.278600,0.298800,0.311900,0.317400,0.511410,55.991827,56.635008,2.616386,0.266104,0.540914,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.064340,0.121740,0.241360,0.242610,1,1,30:06:2022,22:33:42,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,05:04:2021,03:39:53,95,95.152697,0.576700,0.453700,0.409800,0.390700,0.292900,0.149000,0.090500,0.064500,0.283800,0.304600,0.319300,0.326200,0.508422,50.331471,50.962397,2.668162,0.250636,0.570943,3,10,8,4,3,10,8,4,3,10,8,4,3,10,7,4,0.061560,0.116470,0.232120,0.234040,1,1,30:06:2022,22:39:51,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,06:04:2021,10:33:14,96,96.439745,1.562800,1.122900,0.942800,0.856300,0.963300,0.486300,0.281600,0.182500,0.599500,0.636600,0.661200,0.673900,0.746039,56.790697,56.146403,2.376864,0.065372,1.546514,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,4,0.065220,0.122840,0.242330,0.241780,1,1,30:06:2022,22:43:23,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,06:04:2021,11:49:47,96,96.492905,1.424900,1.045500,0.899300,0.829600,0.814700,0.398600,0.228800,0.147800,0.610200,0.647000,0.670600,0.681900,0.681531,73.445366,72.789045,2.531900,0.026677,1.407386,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080660,0.151420,0.291290,0.285160,1,1,30:06:2022,22:56:19,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,06:04:2021,12:08:20,96,96.505787,1.395800,1.029600,0.889800,0.823300,0.783800,0.390000,0.229100,0.149200,0.612100,0.639600,0.660700,0.674200,0.667057,77.500218,76.845139,4.078588,0.037450,1.375559,4,9,7,6,4,8,7,6,4,9,7,6,4,9,7,6,0.087100,0.163340,0.311670,0.303180,1,1,30:06:2022,23:01:29,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,07:04:2021,01:48:24,97,97.075278,1.202700,1.023300,0.940300,0.898800,0.485300,0.256700,0.147800,0.101400,0.717400,0.766600,0.792500,0.797400,0.363465,73.960632,74.617571,4.776147,0.101413,1.183497,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082200,0.151670,0.294610,0.291980,1,1,30:06:2022,22:38:43,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,07:04:2021,03:09:22,97,97.131505,1.089300,0.884700,0.801500,0.763500,0.512300,0.270500,0.161700,0.111600,0.577100,0.614200,0.639800,0.652000,0.454733,56.317635,56.963797,2.485530,0.162641,1.073304,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.066550,0.123950,0.244070,0.244860,1,1,30:06:2022,22:58:34,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,07:04:2021,11:02:42,97,97.460208,0.719300,0.548200,0.478500,0.446700,0.389500,0.193700,0.110600,0.073900,0.329900,0.354500,0.367900,0.372800,0.602975,63.045763,62.393130,3.112160,0.150468,0.712922,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.071540,0.132060,0.257580,0.255140,1,1,30:06:2022,22:37:06,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,07:04:2021,11:50:14,97,97.493218,0.526400,0.432300,0.392300,0.371900,0.236900,0.120400,0.069900,0.046900,0.289500,0.311800,0.322400,0.325000,0.435198,73.430395,72.773953,3.484462,0.095240,0.520651,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082500,0.150950,0.291080,0.284720,1,1,30:06:2022,22:45:13,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,07:04:2021,12:08:38,97,97.505995,0.504100,0.417600,0.380400,0.360500,0.219400,0.110700,0.063800,0.042300,0.284700,0.306900,0.316600,0.318200,0.416640,77.452569,76.797537,3.637240,0.062935,0.498671,4,8,7,6,4,9,7,6,4,8,7,6,4,9,7,6,0.088810,0.161820,0.310340,0.301680,1,1,30:06:2022,22:48:48,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,01:47:25,98,98.074595,0.390500,0.310400,0.273100,0.253000,0.206300,0.109600,0.065500,0.044500,0.184200,0.200800,0.207700,0.208500,0.526796,73.941187,74.598165,2.710248,0.099859,0.387644,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082190,0.151640,0.294550,0.291900,1,1,30:06:2022,22:41:42,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,02:19:52,98,98.097130,0.473600,0.381000,0.334200,0.308400,0.298400,0.194000,0.136300,0.103800,0.175200,0.186900,0.197900,0.204600,0.512036,66.834558,67.490908,2.556271,0.160342,0.469277,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.074190,0.137440,0.268620,0.267650,1,1,30:06:2022,22:21:09,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,03:08:07,98,98.130637,0.500000,0.401600,0.347400,0.317200,0.330100,0.219800,0.154500,0.117200,0.169900,0.181700,0.193000,0.200000,0.532804,56.341375,56.988691,2.227490,0.214083,0.495932,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.066570,0.123970,0.244110,0.244900,1,1,30:06:2022,22:28:25,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,03:37:19,98,98.150914,0.538400,0.428900,0.369100,0.336000,0.365200,0.244600,0.173000,0.132800,0.173200,0.184400,0.196100,0.203200,0.552455,50.098227,50.733998,2.336956,0.273812,0.534711,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.063510,0.118600,0.234340,0.235890,1,1,30:06:2022,22:31:13,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,10:34:27,98,98.440590,0.398800,0.323100,0.294600,0.281300,0.185800,0.092700,0.055100,0.038800,0.213000,0.230400,0.239500,0.242500,0.450135,56.801809,56.155184,3.374413,0.314887,0.393703,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,4,0.067240,0.124650,0.244430,0.243540,1,1,30:06:2022,22:22:57,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,11:02:28,98,98.460046,0.359200,0.292500,0.266200,0.253100,0.169800,0.087100,0.052700,0.037100,0.189400,0.205400,0.213500,0.216000,0.444655,62.877345,62.224179,2.827779,0.170913,0.355452,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.071420,0.131840,0.257180,0.254770,1,1,30:06:2022,22:28:49,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,11:52:23,98,98.494711,0.315500,0.260300,0.236800,0.224700,0.143500,0.074100,0.044100,0.030400,0.171900,0.186200,0.192700,0.194400,0.424734,73.788096,73.131639,3.476858,0.100001,0.311024,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082990,0.151800,0.292590,0.286060,1,1,30:06:2022,22:35:06,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,12:10:42,98,98.507431,0.321100,0.266300,0.242200,0.229500,0.146000,0.076900,0.046500,0.032200,0.175000,0.189400,0.195700,0.197300,0.416936,77.790872,77.136192,4.151559,0.066765,0.316771,4,8,7,6,4,8,7,6,4,8,7,6,4,10,7,6,0.089410,0.162860,0.312170,0.303310,1,1,30:06:2022,22:37:50,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,09:04:2021,01:47:08,99,99.074398,0.287300,0.223500,0.196800,0.183100,0.151000,0.075500,0.044300,0.030100,0.136300,0.148000,0.152500,0.153000,0.559407,73.770795,74.427819,2.134867,0.070381,0.284457,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.081970,0.151230,0.293800,0.291200,1,1,30:06:2022,22:16:12,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,09:04:2021,02:18:45,99,99.096354,0.296100,0.227100,0.200100,0.186900,0.158200,0.077700,0.045700,0.031200,0.138000,0.149400,0.154400,0.155700,0.580721,66.844654,67.501364,2.006855,0.119443,0.292641,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.074200,0.137460,0.268660,0.267680,1,1,30:06:2022,22:23:56,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,09:04:2021,03:06:56,99,99.129815,0.273900,0.206300,0.183000,0.172300,0.152500,0.075400,0.046400,0.033200,0.121400,0.130900,0.136600,0.139100,0.600195,56.354459,57.002850,1.936926,0.196306,0.270173,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.066570,0.123990,0.244140,0.244920,1,1,30:06:2022,22:29:43,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,09:04:2021,03:37:03,99,99.150729,0.254100,0.190700,0.169800,0.160600,0.142000,0.069300,0.042800,0.031000,0.112100,0.121300,0.127000,0.129600,0.600864,49.903322,50.540319,2.282942,0.253797,0.251232,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.063430,0.118450,0.234080,0.235650,1,1,30:06:2022,22:35:09,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,01:46:51,100,100.074201,0.329100,0.253300,0.222600,0.208500,0.172200,0.084500,0.048300,0.032600,0.156900,0.168800,0.174300,0.175900,0.578671,73.602859,74.259904,2.136934,0.064567,0.324610,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.081750,0.150850,0.293080,0.290510,1,1,30:06:2022,22:36:08,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,02:17:44,100,100.095648,0.338100,0.257400,0.226600,0.212700,0.179600,0.087100,0.050100,0.034200,0.158500,0.170400,0.176400,0.178500,0.593431,66.835766,67.492785,2.249552,0.121843,0.332998,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.074180,0.137430,0.268620,0.267650,1,1,30:06:2022,22:20:17,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,03:06:42,100,100.129653,0.373900,0.278900,0.245000,0.230200,0.208200,0.100300,0.059000,0.041100,0.165700,0.178600,0.186000,0.189100,0.628161,56.165826,56.814976,2.576801,0.267090,0.369895,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.066470,0.123800,0.243800,0.244610,1,1,30:06:2022,22:27:02,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,03:33:50,100,100.148495,0.397400,0.295900,0.259500,0.240500,0.225300,0.111300,0.068700,0.047100,0.172100,0.184600,0.190800,0.193400,0.633146,50.339457,50.978994,1.947710,0.112358,0.394136,3,10,8,4,3,10,8,3,3,10,8,4,3,10,8,4,0.063610,0.118780,0.234670,0.236190,1,1,30:06:2022,22:34:47,1170,28.545000,77.192600,15.000000,lev20,Almucantar
